"(Background Information, Full Name)","(Background Information, Position)","(Background Information, Squad)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)","('Unnamed: 36_level_0', 'Matches')"
Rui Patrício,GK,Roma,1988.0,23.0,23.0,2070.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Benjamin Pavard,DF,Inter,1996.0,23.0,21.0,1672.0,18.6,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,1.4,2.1,25.0,89.0,47.0,0.0,0.11,0.11,0.0,0.11,0.04,0.07,0.11,0.04,0.11,Matches
Leonardo Pavoletti,FW,Cagliari,1988.0,19.0,5.0,628.0,7.0,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,2.6,2.6,0.3,2.9,1.0,16.0,40.0,0.57,0.14,0.72,0.57,0.72,0.37,0.04,0.41,0.37,0.41,Matches
Martín Payero,MF,Udinese,1998.0,29.0,21.0,1796.0,20.0,2.0,2.0,4.0,2.0,0.0,0.0,6.0,1.0,1.5,1.5,1.1,2.6,47.0,71.0,64.0,0.1,0.1,0.2,0.1,0.2,0.08,0.06,0.13,0.08,0.13,Matches
Marcus Pedersen,DF,Sassuolo,2000.0,28.0,16.0,1613.0,17.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,1.1,1.2,43.0,31.0,90.0,0.0,0.11,0.11,0.0,0.11,0.01,0.06,0.06,0.01,0.06,Matches
Pedro,"FW,MF",Lazio,1987.0,33.0,5.0,816.0,9.1,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.5,1.5,2.1,3.6,31.0,33.0,81.0,0.11,0.11,0.22,0.11,0.22,0.17,0.23,0.39,0.17,0.39,Matches
Pietro Pellegri,FW,Torino,2001.0,24.0,7.0,756.0,8.4,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.3,1.4,14.0,8.0,52.0,0.12,0.12,0.24,0.12,0.24,0.12,0.04,0.16,0.12,0.16,Matches
Lorenzo Pellegrini,MF,Roma,1996.0,29.0,20.0,1859.0,20.7,8.0,3.0,11.0,7.0,1.0,1.0,7.0,0.0,4.8,4.0,2.4,6.4,43.0,94.0,97.0,0.39,0.15,0.53,0.34,0.48,0.23,0.12,0.35,0.19,0.31,Matches
Luca Pellegrini,DF,Lazio,1999.0,19.0,8.0,786.0,8.7,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.2,0.2,0.3,0.5,18.0,46.0,30.0,0.11,0.0,0.11,0.11,0.11,0.03,0.03,0.06,0.03,0.06,Matches
Marco Pellegrino,DF,Salernitana,,10.0,5.0,545.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches
Marco Pellegrino,DF,Milan,,1.0,0.0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Pepín,"MF,FW",Monza,1996.0,10.0,2.0,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.2,1.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches
Pedro Pereira,DF,Monza,1998.0,23.0,9.0,841.0,9.3,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.2,1.4,20.0,43.0,69.0,0.0,0.21,0.21,0.0,0.21,0.02,0.12,0.14,0.02,0.14,Matches
Roberto Pereyra,"FW,MF",Udinese,1991.0,27.0,22.0,1858.0,20.6,4.0,3.0,7.0,3.0,1.0,1.0,6.0,0.0,3.5,2.7,1.9,4.7,39.0,70.0,82.0,0.19,0.15,0.34,0.15,0.29,0.17,0.09,0.27,0.13,0.23,Matches
Nehuén Pérez,DF,Udinese,2000.0,36.0,36.0,3238.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.3,1.3,0.2,1.5,28.0,119.0,24.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Simone Perilli,GK,Hellas Verona,1995.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mattia Perin,GK,Juventus,1992.0,3.0,3.0,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Samuele Perisan,GK,Empoli,1997.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matteo Pessina,MF,Monza,1997.0,37.0,37.0,3222.0,35.8,6.0,3.0,9.0,2.0,4.0,5.0,5.0,1.0,6.3,2.4,1.1,3.5,69.0,190.0,53.0,0.17,0.08,0.25,0.06,0.14,0.18,0.03,0.21,0.07,0.1,Matches
Player,Pos,Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andrea Petagna,FW,Cagliari,1995.0,18.0,13.0,995.0,11.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,1.0,2.6,11.0,14.0,56.0,0.09,0.09,0.18,0.09,0.18,0.15,0.09,0.23,0.15,0.23,Matches
Giuseppe Pezzella,DF,Empoli,1997.0,19.0,14.0,1085.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.5,0.6,44.0,44.0,36.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
Roberto Piccoli,FW,Empoli,2001.0,2.0,0.0,39.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Roberto Piccoli,FW,Lecce,2001.0,35.0,12.0,1378.0,15.3,5.0,0.0,5.0,4.0,1.0,1.0,5.0,0.0,6.4,5.6,0.9,6.5,25.0,19.0,72.0,0.33,0.0,0.33,0.26,0.26,0.42,0.06,0.48,0.37,0.43,Matches
Santiago Pierotti,"MF,FW",Lecce,2001.0,11.0,0.0,200.0,2.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,4.0,5.0,20.0,0.0,0.9,0.9,0.0,0.9,0.22,0.47,0.69,0.22,0.69,Matches
Niccolò Pierozzi,DF,Salernitana,2001.0,12.0,11.0,871.0,9.7,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.2,0.2,0.0,0.3,3.0,16.0,20.0,0.1,0.0,0.1,0.1,0.1,0.03,0.01,0.03,0.03,0.03,Matches
Andrea Pinamonti,FW,Sassuolo,1999.0,38.0,37.0,3076.0,34.2,11.0,1.0,12.0,9.0,2.0,3.0,4.0,0.0,8.9,6.6,1.9,8.4,17.0,45.0,165.0,0.32,0.03,0.35,0.26,0.29,0.26,0.05,0.32,0.19,0.25,Matches
Carlo Pinsoglio,GK,Juventus,1990.0,1.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lorenzo Pirola,DF,Salernitana,2002.0,27.0,24.0,1987.0,22.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,0.0,0.9,13.0,57.0,7.0,0.05,0.0,0.05,0.05,0.05,0.04,0.0,0.04,0.04,0.04,Matches
Niccolò Pisilli,MF,Roma,2004.0,1.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tommaso Pobega,MF,Milan,1999.0,11.0,3.0,319.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,6.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches
Paul Pogba,MF,Juventus,1993.0,2.0,0.0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
Matteo Politano,FW,Napoli,1993.0,37.0,31.0,2360.0,26.2,8.0,7.0,15.0,6.0,2.0,3.0,2.0,1.0,7.1,4.8,6.6,11.4,113.0,164.0,216.0,0.31,0.27,0.57,0.23,0.5,0.27,0.25,0.52,0.18,0.43,Matches
Marin Pongračić,DF,Lecce,1997.0,36.0,36.0,3219.0,35.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.2,1.2,0.4,1.5,45.0,134.0,7.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Stefan Posch,DF,Bologna,1997.0,31.0,29.0,2409.0,26.8,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,1.2,1.2,2.1,3.3,44.0,123.0,64.0,0.04,0.07,0.11,0.04,0.11,0.04,0.08,0.12,0.04,0.12,Matches
Matteo Prati,MF,Cagliari,2003.0,26.0,19.0,1972.0,21.9,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,0.8,2.8,8.0,66.0,17.0,0.05,0.05,0.09,0.05,0.09,0.09,0.03,0.13,0.09,0.13,Matches
Ivan Provedel,GK,Lazio,1994.0,30.0,30.0,2699.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Christian Pulisic,"FW,MF",Milan,1998.0,36.0,32.0,2602.0,28.9,12.0,8.0,20.0,12.0,0.0,0.0,2.0,0.0,8.0,8.0,4.8,12.8,131.0,87.0,293.0,0.42,0.28,0.69,0.42,0.69,0.28,0.16,0.44,0.28,0.44,Matches
George Pușcaș,FW,Genoa,1996.0,8.0,1.0,191.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.1,2.2,5.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.98,0.04,1.02,0.98,1.02,Matches
Domingos Quina,MF,Udinese,1999.0,2.0,0.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adrien Rabiot,MF,Juventus,1995.0,31.0,30.0,2651.0,29.5,5.0,3.0,8.0,5.0,0.0,0.0,8.0,0.0,3.5,3.4,4.1,7.4,72.0,120.0,106.0,0.17,0.1,0.27,0.17,0.27,0.12,0.14,0.26,0.11,0.25,Matches
Uroš Račić,MF,Sassuolo,1998.0,22.0,8.0,820.0,9.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.3,1.1,5.0,37.0,11.0,0.11,0.11,0.22,0.11,0.22,0.09,0.03,0.13,0.09,0.13,Matches
Nemanja Radonjić,"MF,FW",Torino,1996.0,10.0,4.0,374.0,4.2,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.7,1.7,0.2,1.9,11.0,7.0,24.0,0.72,0.0,0.72,0.72,0.72,0.41,0.05,0.46,0.41,0.46,Matches
Boris Radunović,GK,Cagliari,1996.0,7.0,7.0,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hamza Rafia,MF,Lecce,1999.0,28.0,17.0,1204.0,13.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,0.8,1.6,15.0,46.0,37.0,0.07,0.0,0.07,0.07,0.07,0.06,0.06,0.12,0.06,0.12,Matches
Player,Pos,Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ylber Ramadani,MF,Lecce,1996.0,34.0,34.0,2970.0,33.0,1.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0,1.0,1.0,0.5,1.6,36.0,121.0,14.0,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.05,0.03,0.05,Matches
Luca Ranieri,DF,Fiorentina,1999.0,26.0,23.0,2065.0,22.9,2.0,1.0,3.0,2.0,0.0,0.0,14.0,0.0,0.9,0.9,0.4,1.3,17.0,99.0,5.0,0.09,0.04,0.13,0.09,0.13,0.04,0.02,0.06,0.04,0.06,Matches
Filippo Ranocchia,"MF,DF",Empoli,2001.0,9.0,5.0,476.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.5,0.8,5.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.14,0.04,0.14,Matches
Giacomo Raspadori,"FW,MF",Napoli,2000.0,37.0,14.0,1584.0,17.6,5.0,3.0,8.0,5.0,0.0,1.0,0.0,0.0,5.9,4.5,4.0,8.5,29.0,54.0,139.0,0.28,0.17,0.45,0.28,0.45,0.33,0.23,0.56,0.25,0.48,Matches
Federico Ravaglia,GK,Bologna,1999.0,6.0,6.0,535.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tijjani Reijnders,MF,Milan,1998.0,36.0,33.0,2820.0,31.3,3.0,3.0,6.0,3.0,0.0,0.0,8.0,0.0,3.2,3.2,3.7,7.0,88.0,204.0,90.0,0.1,0.1,0.19,0.1,0.19,0.1,0.12,0.22,0.1,0.22,Matches
Reinier,"MF,FW",Frosinone,2002.0,22.0,13.0,1059.0,11.8,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,1.3,1.3,1.9,3.2,10.0,32.0,42.0,0.17,0.17,0.34,0.17,0.34,0.11,0.16,0.27,0.11,0.27,Matches
Mateo Retegui,FW,Genoa,1999.0,29.0,26.0,2216.0,24.6,7.0,2.0,9.0,6.0,1.0,1.0,5.0,0.0,5.8,5.0,0.7,5.8,18.0,17.0,112.0,0.28,0.08,0.37,0.24,0.32,0.24,0.03,0.27,0.2,0.24,Matches
Samuele Ricci,MF,Torino,2001.0,32.0,28.0,2395.0,26.6,1.0,2.0,3.0,1.0,0.0,0.0,8.0,1.0,1.3,1.3,2.3,3.6,47.0,122.0,73.0,0.04,0.08,0.11,0.04,0.11,0.05,0.09,0.13,0.05,0.13,Matches
Ricardo Rodríguez,DF,Torino,1992.0,35.0,34.0,2772.0,30.8,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,1.4,1.7,61.0,127.0,40.0,0.03,0.06,0.1,0.03,0.1,0.01,0.04,0.05,0.01,0.05,Matches
Alessio Romagnoli,DF,Lazio,1995.0,29.0,26.0,2411.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.6,0.6,0.6,1.1,7.0,87.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Simone Romagnoli,DF,Frosinone,1990.0,33.0,30.0,2715.0,30.2,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.2,1.2,0.4,1.6,2.0,47.0,2.0,0.03,0.03,0.07,0.03,0.07,0.04,0.01,0.05,0.04,0.05,Matches
Luka Romero,"FW,MF",Milan,2004.0,4.0,0.0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,4.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
Marten de Roon,"MF,DF",Atalanta,1991.0,30.0,29.0,2599.0,28.9,0.0,5.0,5.0,0.0,0.0,0.0,10.0,0.0,0.6,0.6,1.2,1.8,28.0,178.0,22.0,0.0,0.17,0.17,0.0,0.17,0.02,0.04,0.06,0.02,0.06,Matches
Francesco Rossi,GK,Atalanta,1991.0,1.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicolò Rovella,MF,Lazio,2001.0,23.0,16.0,1318.0,14.6,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.6,0.6,0.5,1.1,21.0,56.0,11.0,0.0,0.14,0.14,0.0,0.14,0.04,0.03,0.08,0.04,0.08,Matches
Amir Rrahmani,DF,Napoli,1994.0,30.0,30.0,2600.0,28.9,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,2.2,2.2,0.9,3.1,19.0,113.0,4.0,0.1,0.0,0.1,0.1,0.1,0.08,0.03,0.11,0.08,0.11,Matches
Ruan,DF,Sassuolo,1999.0,26.0,16.0,1516.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.5,0.5,0.6,1.1,8.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,Matches
Daniele Rugani,DF,Juventus,1994.0,17.0,13.0,1187.0,13.2,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.6,1.6,0.4,2.0,2.0,46.0,2.0,0.15,0.0,0.15,0.15,0.15,0.12,0.03,0.15,0.12,0.15,Matches
Matteo Ruggeri,DF,Atalanta,2002.0,34.0,28.0,2449.0,27.2,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,1.8,2.3,55.0,142.0,132.0,0.0,0.15,0.15,0.0,0.15,0.02,0.07,0.08,0.02,0.08,Matches
Mário Rui,DF,Napoli,1991.0,21.0,14.0,1205.0,13.4,0.0,2.0,2.0,0.0,0.0,0.0,7.0,1.0,0.1,0.1,1.9,2.0,33.0,90.0,59.0,0.0,0.15,0.15,0.0,0.15,0.01,0.14,0.15,0.01,0.15,Matches
Stefano Sabelli,DF,Genoa,1993.0,32.0,30.0,2429.0,27.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,1.9,2.7,69.0,88.0,101.0,0.0,0.04,0.04,0.0,0.04,0.03,0.07,0.1,0.03,0.1,Matches
Alexis Saelemaekers,"FW,MF",Bologna,1999.0,30.0,21.0,1887.0,21.0,4.0,2.0,6.0,4.0,0.0,0.0,7.0,1.0,2.6,2.6,2.8,5.5,65.0,77.0,180.0,0.19,0.1,0.29,0.19,0.29,0.13,0.14,0.26,0.13,0.26,Matches
Lazar Samardzic,MF,Udinese,2002.0,34.0,28.0,2372.0,26.4,6.0,2.0,8.0,5.0,1.0,1.0,3.0,0.0,3.5,2.8,5.5,8.3,65.0,83.0,91.0,0.23,0.08,0.3,0.19,0.27,0.13,0.21,0.34,0.11,0.31,Matches
Junior Sambia,"DF,MF",Salernitana,1996.0,18.0,10.0,1032.0,11.5,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,0.9,1.4,23.0,41.0,37.0,0.09,0.17,0.26,0.09,0.26,0.05,0.07,0.12,0.05,0.12,Matches
Player,Pos,Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Antonio Sanabria,"FW,MF",Torino,1996.0,35.0,23.0,2133.0,23.7,5.0,0.0,5.0,3.0,2.0,2.0,2.0,0.0,9.3,7.7,1.4,9.1,19.0,57.0,109.0,0.21,0.0,0.21,0.13,0.13,0.39,0.06,0.45,0.32,0.38,Matches
Renato Sanches,MF,Roma,1997.0,7.0,1.0,146.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,5.0,10.0,5.0,0.62,0.0,0.62,0.62,0.62,0.05,0.14,0.19,0.05,0.19,Matches
Alexis Sánchez,"FW,MF",Inter,1988.0,23.0,6.0,763.0,8.5,2.0,5.0,7.0,1.0,1.0,1.0,0.0,0.0,3.2,2.5,3.1,5.6,16.0,53.0,58.0,0.24,0.59,0.83,0.12,0.71,0.38,0.37,0.75,0.29,0.66,Matches
Alex Sandro,DF,Juventus,1991.0,16.0,8.0,721.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.9,1.3,16.0,43.0,9.0,0.12,0.0,0.12,0.12,0.12,0.05,0.11,0.16,0.05,0.16,Matches
Nicola Sansone,"FW,MF",Lecce,1991.0,25.0,4.0,767.0,8.5,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,2.8,2.8,1.3,4.1,15.0,36.0,75.0,0.23,0.23,0.47,0.23,0.47,0.33,0.15,0.48,0.33,0.48,Matches
Riccardo Saponara,"FW,MF",Hellas Verona,1991.0,12.0,3.0,342.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,12.0,14.0,32.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,Matches
Zanos Savva,"DF,MF",Torino,2005.0,2.0,0.0,28.0,0.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,1.0,3.21,0.0,3.21,3.21,3.21,0.51,0.0,0.51,0.51,0.51,Matches
Saba Sazonov,DF,Torino,2002.0,12.0,2.0,356.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
Giorgio Scalvini,DF,Atalanta,2003.0,33.0,31.0,2544.0,28.3,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,1.4,1.4,1.1,2.5,30.0,116.0,33.0,0.04,0.11,0.14,0.04,0.14,0.05,0.04,0.09,0.05,0.09,Matches
Gianluca Scamacca,FW,Atalanta,1999.0,29.0,17.0,1453.0,16.1,12.0,6.0,18.0,12.0,0.0,0.0,1.0,0.0,6.5,6.5,3.9,10.5,22.0,41.0,167.0,0.74,0.37,1.11,0.74,1.11,0.4,0.24,0.65,0.4,0.65,Matches
Perr Schuurs,DF,Torino,1999.0,9.0,9.0,770.0,8.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,0.0,0.7,9.0,19.0,4.0,0.12,0.0,0.12,0.12,0.12,0.08,0.0,0.08,0.08,0.08,Matches
Simone Scuffet,GK,Cagliari,1996.0,31.0,31.0,2789.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Demba Seck,MF,Torino,2001.0,9.0,5.0,425.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.5,23.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1,Matches
Demba Seck,"FW,MF",Frosinone,2001.0,11.0,3.0,298.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.3,1.4,11.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.34,0.1,0.44,0.34,0.44,Matches
Nikola Sekulov,FW,Juventus,2002.0,1.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vivaldo Semedo,FW,Udinese,2005.0,1.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Stefano Sensi,MF,Inter,1995.0,4.0,0.0,46.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,3.0,3.0,4.0,0.0,1.96,1.96,0.0,1.96,0.16,0.25,0.42,0.16,0.42,Matches
Suat Serdar,MF,Hellas Verona,1997.0,25.0,19.0,1659.0,18.4,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,1.4,2.4,20.0,68.0,36.0,0.0,0.11,0.11,0.0,0.11,0.05,0.07,0.13,0.05,0.13,Matches
Andres Sfait,"DF,MF",Salernitana,2004.0,2.0,0.0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches
Stephan El Shaarawy,"FW,DF",Roma,1992.0,33.0,19.0,1738.0,19.3,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,2.5,2.5,2.3,4.8,46.0,44.0,131.0,0.16,0.21,0.36,0.16,0.36,0.13,0.12,0.25,0.13,0.25,Matches
Eldor Shomurodov,"FW,MF",Cagliari,1995.0,22.0,10.0,936.0,10.4,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,3.5,3.5,1.7,5.2,12.0,18.0,52.0,0.29,0.29,0.58,0.29,0.58,0.34,0.16,0.5,0.34,0.5,Matches
Steven Shpendi,"FW,MF",Empoli,2003.0,12.0,4.0,411.0,4.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,3.0,6.0,32.0,0.0,0.22,0.22,0.0,0.22,0.09,0.1,0.2,0.09,0.2,Matches
Marco Silvestri,GK,Udinese,1991.0,17.0,17.0,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giovanni Simeone,FW,Napoli,1995.0,28.0,8.0,800.0,8.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,3.4,3.4,0.6,3.9,11.0,13.0,76.0,0.11,0.0,0.11,0.11,0.11,0.38,0.06,0.44,0.38,0.44,Matches
